id,district,area_sqm,bedrooms,living_rooms,bathrooms,floor,total_floors,has_elevator,building_age_years,orientation,decoration,property_type,developer,subway_line,subway_distance_m,school_district_tier,west_lake_distance_m,green_ratio,parking_ratio,management_fee_yuan_per_sqm,listing_date,listing_duration_days,price_adjustments_count,unit_price_yuan_per_sqm,total_price_wan
58,西湖区,78.9,2,1,1,17,26,1,8,,精装 (Fine),住宅 (Residential),中海 (COHL),Line 6,109,C,23429,0.41,,,3/12/2024,471,0,53940,425.59
59,钱塘区,85.6,2,1,2,5,6,0,4,Southwest,简装 (Simple),住宅 (Residential),龙湖 (Longfor),Line 9,629,C,5674,,1.22,5.39,7/18/2024,283,1,26439,226.32
60,滨江区,53.8,1,1,1,26,33,1,14,,,住宅 (Residential),本地开发商 (Local),Line 2,1457,C,4639,0.37,0.6,7.47,5/14/2023,758,0,39963,215
61,富阳区,137.2,3,1,3,14,26,1,10,,精装 (Fine),住宅 (Residential),融创 (Sunac),Line 10,4867,,21053,0.3,0.67,2.71,4/21/2023,754,3,21886,300.28
62,余杭区,78.4,3,1,2,8,18,1,29,Southwest,毛坯 (Rough),别墅 (Villa),本地开发商 (Local),Line 19,,,29891,0.41,1.1,2.24,11/13/2023,547,0,23929,187.6
63,拱墅区,131.8,4,2,4,13,26,1,1,West,精装 (Fine),住宅 (Residential),滨江 (Binjiang),Line 16,,A,23490,0.3,,2.58,2/23/2023,786,0,63735,840.03
64,临安区,69.9,2,1,2,4,6,1,31,Southeast,简装 (Simple),公寓 (Apartment),龙湖 (Longfor),Line 6,436,,7243,0.29,0.8,3.51,9/5/2024,214,0,11093,77.54
65,萧山区,47.3,2,2,1,25,26,1,5,West,精装 (Fine),住宅 (Residential),本地开发商 (Local),Line 5,385,C,3768,,,,2/13/2023,832,0,33741,159.59
66,西湖区,138.6,3,2,3,19,26,1,12,North,,住宅 (Residential),华润 (CR Land),Line 10,230,C,,0.41,1.48,6.96,3/22/2024,449,1,51197,709.59
67,西湖区,86,2,1,1,11,18,1,2,North,豪华 (Luxury),住宅 (Residential),,,153,C,19503,0.42,1.33,4.08,9/20/2023,583,0,72124,620.27
68,拱墅区,57.2,1,2,1,6,26,1,,Northeast,豪华 (Luxury),住宅 (Residential),,Line 9,1172,C,13452,0.43,,6.08,3/26/2024,378,1,49142,281.09
69,萧山区,103,2,2,2,12,26,1,7,South,豪华 (Luxury),别墅 (Villa),中海 (COHL),Line 4,760,A,23192,0.34,0.79,7.66,2/12/2023,835,,60754,625.77
70,临安区,75.9,3,2,3,16,18,1,11,,毛坯 (Rough),住宅 (Residential),万科 (Vanke),,614,,14033,0.38,,2.41,9/16/2024,216,0,16804,127.54
71,萧山区,49.9,1,1,1,22,26,1,10,Southwest,简装 (Simple),公寓 (Apartment),中海 (COHL),Line 16,1352,A,1879,,,6.18,8/19/2024,308,0,35413,176.71
72,余杭区,63.5,1,1,1,22,26,1,13,Northwest,豪华 (Luxury),公寓 (Apartment),本地开发商 (Local),Line 9,,B,5681,,0.67,6.3,10/23/2024,244,1,22570,143.32
73,余杭区,101.5,3,1,2,7,18,1,12,East,豪华 (Luxury),住宅 (Residential),融创 (Sunac),Line 16,263,,4333,0.44,1.23,2.9,9/24/2024,204,1,34794,353.16
74,拱墅区,74.9,3,1,2,11,33,1,23,Southwest,豪华 (Luxury),公寓 (Apartment),滨江 (Binjiang),,949,C,,0.4,,5.97,7/18/2023,669,2,29494,220.91
75,临安区,40.5,1,3,1,10,18,1,20,Southwest,豪华 (Luxury),住宅 (Residential),龙湖 (Longfor),Line 7,1023,B,6115,0.43,,7.68,6/12/2024,307,0,14037,56.85
76,拱墅区,48.8,2,1,2,10,33,1,31,,精装 (Fine),住宅 (Residential),保利 (Poly),Line 2,,,,0.43,,6.01,11/23/2023,506,3,22402,109.32
77,余杭区,100.1,3,2,3,5,11,1,,Southwest,,住宅 (Residential),绿城 (Greentown),Line 6,2128,,25023,0.27,,6.67,3/9/2024,401,2,29978,300.08
78,滨江区,142.5,4,1,3,4,6,1,17,Southwest,精装 (Fine),公寓 (Apartment),滨江 (Binjiang),Line 1,4483,C,18230,,1.04,6.64,7/11/2023,714,2,31464,448.36
79,富阳区,131.1,4,3,3,5,6,1,6,West,精装 (Fine),公寓 (Apartment),保利 (Poly),Line 7,269,,750,0.36,1.44,6.69,4/17/2023,788,2,27093,355.19
80,余杭区,76.9,2,1,2,11,18,1,26,Southwest,豪华 (Luxury),住宅 (Residential),本地开发商 (Local),Line 3,1765,C,22676,0.4,0.5,4.54,7/24/2023,621,0,22964,176.59
81,萧山区,122.5,4,1,4,31,33,1,13,,简装 (Simple),住宅 (Residential),保利 (Poly),Line 16,292,B,19155,,,,1/31/2024,468,,37179,455.44
82,钱塘区,89.2,3,2,2,17,18,1,6,North,简装 (Simple),住宅 (Residential),保利 (Poly),,1271,C,,0.42,0.62,1.81,6/20/2023,738,1,28052,250.22
83,钱塘区,80.4,3,1,2,23,33,1,29,Southwest,精装 (Fine),住宅 (Residential),本地开发商 (Local),Line 6,1188,,1543,0.33,1.26,,11/25/2024,182,0,22725,182.71
84,西湖区,107,4,1,3,12,26,1,13,West,,住宅 (Residential),融创 (Sunac),Line 9,1409,C,,0.3,0.63,7.28,4/27/2023,707,2,56606,605.68
85,钱塘区,114,3,1,2,8,33,1,6,,精装 (Fine),住宅 (Residential),本地开发商 (Local),Line 4,827,,8721,0.27,,5.94,3/31/2023,818,,31025,353.69
86,余杭区,25,1,2,1,18,26,1,7,Southwest,豪华 (Luxury),住宅 (Residential),绿城 (Greentown),,3496,C,,0.42,0.75,2.52,1/27/2023,840,1,24580,61.45
87,余杭区,78.7,2,1,1,9,33,1,18,Southeast,豪华 (Luxury),公寓 (Apartment),万科 (Vanke),Line 2,1166,,26106,,0.97,7.21,11/27/2024,190,0,19227,151.32
88,富阳区,103,3,2,3,3,11,1,11,North,简装 (Simple),公寓 (Apartment),保利 (Poly),,323,A,4136,,,,9/14/2023,589,1,23615,243.23
89,富阳区,87.3,2,1,2,20,26,1,13,Southwest,精装 (Fine),住宅 (Residential),本地开发商 (Local),Line 7,418,,4245,0.41,,6.51,2/16/2023,856,2,22699,198.16
90,萧山区,121.3,4,2,3,14,26,1,32,East,简装 (Simple),公寓 (Apartment),龙湖 (Longfor),Line 1,2203,C,21939,0.38,1.09,3.99,3/1/2024,456,1,21110,256.06
91,余杭区,134.8,3,2,3,11,18,1,28,,简装 (Simple),住宅 (Residential),滨江 (Binjiang),Line 19,,A,9540,0.36,,3.44,1/29/2024,505,1,26363,355.37
92,拱墅区,111.2,4,2,4,21,33,1,2,Southeast,毛坯 (Rough),住宅 (Residential),龙湖 (Longfor),Line 2,,C,,0.42,1.46,6.44,10/16/2023,595,1,48069,534.53
93,钱塘区,30.4,1,1,1,1,6,1,7,Southwest,简装 (Simple),住宅 (Residential),万科 (Vanke),Line 16,3309,B,28639,0.36,,2.82,9/30/2024,269,1,20621,62.69
94,拱墅区,151.9,4,3,3,11,18,1,9,South,毛坯 (Rough),公寓 (Apartment),本地开发商 (Local),Line 5,145,C,21536,0.37,0.75,,5/24/2023,718,,35159,534.07
95,余杭区,74.9,3,1,3,20,33,1,9,Southeast,毛坯 (Rough),住宅 (Residential),万科 (Vanke),Line 7,1083,C,14167,0.34,1.18,,12/5/2024,196,0,28487,213.37
96,钱塘区,137.5,4,1,4,25,26,1,12,Northeast,豪华 (Luxury),住宅 (Residential),本地开发商 (Local),Line 3,313,C,16731,0.45,0.64,4.74,7/15/2023,627,1,36478,501.57
97,临平区,147.6,5,1,4,14,26,1,5,Northeast,精装 (Fine),住宅 (Residential),,Line 9,1300,,24451,0.32,0.82,,4/15/2024,418,0,30943,456.72
98,余杭区,117.1,3,2,3,17,33,1,26,,简装 (Simple),住宅 (Residential),绿城 (Greentown),Line 3,404,C,9082,0.26,1.44,1.84,10/8/2023,576,0,23171,271.33
99,富阳区,158.4,5,1,4,23,33,1,,West,精装 (Fine),住宅 (Residential),龙湖 (Longfor),Line 19,350,B,10207,0.36,1.32,,12/13/2024,142,0,36481,577.86
100,临安区,109,4,2,4,1,11,1,26,Northeast,毛坯 (Rough),公寓 (Apartment),万科 (Vanke),Line 7,1023,A,27650,0.29,,3.69,5/2/2024,394,2,14432,157.31
101,萧山区,113.3,3,1,3,25,26,1,2,,简装 (Simple),别墅 (Villa),绿城 (Greentown),Line 9,1161,C,,,,2.93,5/22/2024,336,,55771,631.89
102,萧山区,47.9,1,2,1,5,6,1,34,,毛坯 (Rough),住宅 (Residential),滨江 (Binjiang),Line 5,1015,C,16675,,1.04,4.84,10/25/2024,189,2,18990,90.96
103,上城区,80.7,3,2,3,19,26,1,29,Southeast,简装 (Simple),住宅 (Residential),万科 (Vanke),Line 3,794,C,19461,,0.88,,1/7/2023,847,0,35895,289.67
104,钱塘区,77.9,3,2,3,20,33,1,11,Southwest,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 9,113,B,5340,,,7.16,12/7/2024,129,1,31285,243.71
105,萧山区,122,3,1,3,3,11,1,11,,豪华 (Luxury),公寓 (Apartment),本地开发商 (Local),Line 6,,B,20238,,1.1,4.08,3/25/2023,804,1,22071,269.27
106,余杭区,68.2,2,1,1,2,26,1,26,,精装 (Fine),公寓 (Apartment),华润 (CR Land),,449,C,8895,,,3.84,2/26/2023,822,0,15384,104.92
107,临平区,144.2,4,1,3,4,6,1,31,South,精装 (Fine),公寓 (Apartment),融创 (Sunac),Line 1,219,A,4390,0.36,,,4/28/2024,341,0,23492,338.75
108,拱墅区,51.7,1,2,1,24,26,1,15,,精装 (Fine),公寓 (Apartment),华润 (CR Land),Line 6,,B,,0.35,1.19,1.61,7/2/2023,706,0,31839,164.61
109,拱墅区,40.9,1,2,1,1,11,1,34,West,简装 (Simple),住宅 (Residential),绿城 (Greentown),,883,C,11969,,,7.8,2/2/2023,872,1,26663,109.05
110,上城区,104.7,3,1,3,5,6,1,4,East,简装 (Simple),别墅 (Villa),万科 (Vanke),Line 10,389,C,25504,0.42,1.36,,8/12/2024,271,1,88335,924.87
111,余杭区,101.9,3,1,2,15,33,1,7,North,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 4,552,C,21865,0.32,0.66,5.43,6/21/2024,323,2,32704,333.25
112,临平区,123.1,3,1,3,18,18,1,13,,精装 (Fine),商住两用 (Mixed),融创 (Sunac),Line 19,988,C,25740,0.4,1.43,4.35,10/24/2024,168,,24732,304.45
113,余杭区,122.6,3,1,3,7,26,1,0,Northwest,精装 (Fine),公寓 (Apartment),绿城 (Greentown),Line 5,575,A,2690,0.33,,3.04,1/16/2023,832,,43719,535.99
114,西湖区,49.7,2,2,1,8,26,1,28,East,精装 (Fine),住宅 (Residential),滨江 (Binjiang),Line 10,1461,B,9228,0.35,,1.67,4/25/2024,380,,35938,178.61
115,余杭区,54.5,2,1,2,2,6,0,29,North,简装 (Simple),住宅 (Residential),滨江 (Binjiang),Line 7,1443,C,5545,0.35,,4.3,5/15/2024,402,2,13746,74.92
116,钱塘区,99.5,2,1,1,6,26,1,3,,精装 (Fine),公寓 (Apartment),万科 (Vanke),Line 7,374,,,,1.17,7.54,5/21/2023,760,0,27811,276.72
117,拱墅区,181,6,1,4,12,18,1,1,South,精装 (Fine),住宅 (Residential),万科 (Vanke),Line 9,,,11286,0.39,0.68,4.91,5/29/2024,395,2,65781,1190.64
118,拱墅区,74,3,1,2,2,6,1,1,,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 4,951,,2345,0.36,,1.52,10/27/2024,159,0,49904,369.29
119,临平区,103.7,3,1,2,1,18,1,29,,,别墅 (Villa),,Line 2,3925,C,4660,0.32,,6.57,8/3/2024,300,0,26728,277.17
120,西湖区,123.1,4,2,3,18,18,1,13,Southwest,豪华 (Luxury),公寓 (Apartment),保利 (Poly),Line 1,,B,,0.42,0.97,4.98,2/3/2024,508,3,52964,651.99
121,余杭区,75.8,2,1,2,26,26,1,,Southeast,豪华 (Luxury),住宅 (Residential),,Line 16,576,,940,,1.1,5.89,1/31/2023,871,0,43415,329.09
122,钱塘区,29.6,1,1,1,13,18,1,11,Northwest,精装 (Fine),住宅 (Residential),绿城 (Greentown),Line 10,2741,A,16764,0.27,0.59,7.31,11/21/2023,542,0,22686,67.15
123,上城区,74.6,2,2,2,9,18,1,0,South,毛坯 (Rough),住宅 (Residential),中海 (COHL),Line 2,1060,C,12475,,,7.22,2/28/2024,446,2,50008,373.06
124,富阳区,111.2,3,2,3,11,33,1,20,North,简装 (Simple),住宅 (Residential),本地开发商 (Local),Line 3,229,B,6874,0.34,,5.15,5/22/2024,389,1,21975,244.36
125,钱塘区,60.3,2,1,2,13,18,1,11,Northwest,豪华 (Luxury),商住两用 (Mixed),绿城 (Greentown),Line 9,2923,B,6719,0.34,,2.28,11/18/2023,521,,27765,167.42
126,余杭区,125.3,3,1,2,16,26,1,,,,住宅 (Residential),,Line 16,1299,B,20699,0.41,,1.74,4/17/2024,438,0,38740,485.41
127,萧山区,57.5,2,2,1,4,6,0,23,West,精装 (Fine),住宅 (Residential),中海 (COHL),Line 4,430,B,13267,,,,3/4/2024,461,0,21548,123.9
128,余杭区,154.1,5,2,4,6,33,1,3,Southwest,精装 (Fine),住宅 (Residential),,Line 4,2952,B,22265,0.42,,,4/11/2023,753,0,40460,623.49
129,富阳区,77.3,2,1,1,8,26,1,6,West,毛坯 (Rough),住宅 (Residential),,Line 5,3501,C,18984,,0.81,,5/26/2023,719,0,17373,134.29
130,钱塘区,76.9,2,2,1,12,18,1,9,Northwest,毛坯 (Rough),公寓 (Apartment),中海 (COHL),Line 6,4541,B,3536,0.27,1.28,,9/7/2023,637,0,25289,194.47
131,拱墅区,118,4,1,4,15,18,1,4,South,精装 (Fine),住宅 (Residential),中海 (COHL),Line 6,353,C,20145,0.34,,7.97,12/21/2024,108,1,56103,662.02
132,富阳区,100.2,2,1,1,15,18,1,2,West,精装 (Fine),住宅 (Residential),保利 (Poly),Line 10,828,,6565,0.29,1.19,5.52,11/1/2023,594,1,25026,250.76
133,拱墅区,50.4,1,1,1,2,11,1,3,West,简装 (Simple),住宅 (Residential),华润 (CR Land),Line 10,921,C,8693,0.29,,4.19,5/16/2024,355,0,40737,205.31
134,余杭区,114,4,2,3,12,26,1,,Southwest,精装 (Fine),住宅 (Residential),华润 (CR Land),Line 7,178,B,24828,0.45,1.3,7.74,8/14/2023,632,0,42054,479.42
135,滨江区,60.2,2,1,1,8,11,1,8,East,精装 (Fine),商住两用 (Mixed),融创 (Sunac),Line 16,1063,C,17394,,,4.49,8/12/2023,651,0,42190,253.98
136,滨江区,105,3,1,3,29,33,1,12,Northwest,简装 (Simple),公寓 (Apartment),华润 (CR Land),Line 19,228,,4120,,1.14,5.79,9/22/2024,207,2,46487,488.11
137,滨江区,104.7,2,2,1,18,26,1,11,East,豪华 (Luxury),商住两用 (Mixed),,Line 7,915,C,9230,0.26,,,3/2/2023,795,3,51435,538.52
138,拱墅区,66.9,2,2,2,3,11,1,29,Southwest,简装 (Simple),住宅 (Residential),龙湖 (Longfor),Line 19,4046,C,18964,0.38,,3.22,6/11/2024,328,2,28150,188.32
139,余杭区,116.2,4,1,3,1,18,1,31,Northeast,豪华 (Luxury),公寓 (Apartment),保利 (Poly),Line 19,391,,22504,,,7.8,11/27/2023,526,0,22190,257.85
140,临安区,72.5,3,1,3,22,33,1,30,South,,住宅 (Residential),龙湖 (Longfor),Line 16,387,C,26905,,1.43,,5/16/2023,768,0,12750,92.44
141,萧山区,58.4,2,1,2,3,18,1,6,Northeast,,公寓 (Apartment),华润 (CR Land),,312,B,5160,0.38,0.82,7.22,8/20/2023,655,2,22572,131.82
142,上城区,105.6,3,1,2,4,18,1,,Northeast,毛坯 (Rough),住宅 (Residential),本地开发商 (Local),Line 6,459,A,9379,0.29,,7.9,5/17/2023,766,,65572,692.44
143,拱墅区,91.7,2,1,2,20,26,1,29,Southeast,精装 (Fine),别墅 (Villa),万科 (Vanke),Line 6,1960,C,6754,0.4,,2.19,1/29/2024,471,,45710,419.16
144,余杭区,130.1,3,2,2,11,11,1,1,Northeast,豪华 (Luxury),公寓 (Apartment),滨江 (Binjiang),Line 7,628,C,26832,0.31,0.69,7.22,10/30/2023,600,0,39196,509.94
145,滨江区,49.7,1,1,1,8,11,1,23,East,精装 (Fine),公寓 (Apartment),,Line 1,2916,A,5649,0.42,0.51,,3/16/2023,748,1,37507,186.41
146,上城区,122.1,4,1,3,1,6,1,,West,精装 (Fine),住宅 (Residential),绿城 (Greentown),Line 4,2655,,24871,0.29,0.64,,6/9/2023,729,0,62587,764.19
147,临安区,80.4,2,2,1,5,33,1,7,,毛坯 (Rough),住宅 (Residential),万科 (Vanke),Line 6,,B,3593,0.3,1.33,4.74,1/13/2023,898,0,16631,133.71
148,上城区,134.1,4,1,3,17,33,1,3,Northwest,,公寓 (Apartment),滨江 (Binjiang),Line 2,2873,B,,0.27,,5.39,3/20/2023,805,1,51367,688.83
